player,role,form_score_100,is_captain,is_vice_captain,selection_order,match_id,team,opponent,venue,date,rationale
MA Aponso,BOWL,46.6,False,False,8,995457,Sri Lanka,Australia,R Premadasa Stadium,2016-08-21,Selected as BOWL with form score 46.6.
MDK Perera,BOWL,46.1,False,False,9,995457,Sri Lanka,Australia,R Premadasa Stadium,2016-08-21,Selected as BOWL with form score 46.1.
JP Faulkner,BOWL,45.9,False,False,10,995457,Sri Lanka,Australia,R Premadasa Stadium,2016-08-21,Selected as BOWL with form score 45.9.
MS Wade,BAT,54.1,False,False,11,995457,Sri Lanka,Australia,R Premadasa Stadium,2016-08-21,Selected as BAT with form score 54.1.
LD Chandimal,BAT,57.8,True,False,1,995459,Sri Lanka,Australia,R Premadasa Stadium,2016-08-24,Selected as BAT with form score 57.8.
BKG Mendis,BAT,57.7,False,True,2,995459,Sri Lanka,Australia,R Premadasa Stadium,2016-08-24,Selected as BAT with form score 57.7.
MS Wade,BAT,55.7,False,False,3,995459,Sri Lanka,Australia,R Premadasa Stadium,2016-08-24,Selected as BAT with form score 55.7.
SPD Smith,BAT,55.4,False,False,4,995459,Sri Lanka,Australia,R Premadasa Stadium,2016-08-24,Selected as BAT with form score 55.4.
AD Mathews,AR,48.5,False,False,5,995459,Sri Lanka,Australia,R Premadasa Stadium,2016-08-24,Selected as AR with form score 48.5.
TM Dilshan,AR,48.0,False,False,6,995459,Sri Lanka,Australia,R Premadasa Stadium,2016-08-24,Selected as AR with form score 48.0.
MA Aponso,BOWL,46.8,False,False,7,995459,Sri Lanka,Australia,R Premadasa Stadium,2016-08-24,Selected as BOWL with form score 46.8.
DM de Silva,BOWL,46.3,False,False,8,995459,Sri Lanka,Australia,R Premadasa Stadium,2016-08-24,Selected as BOWL with form score 46.3.
MDK Perera,BOWL,44.5,False,False,9,995459,Sri Lanka,Australia,R Premadasa Stadium,2016-08-24,Selected as BOWL with form score 44.5.
NLTC Perera,BOWL,43.7,False,False,10,995459,Sri Lanka,Australia,R Premadasa Stadium,2016-08-24,Selected as BOWL with form score 43.7.
GJ Bailey,BAT,54.7,False,False,11,995459,Sri Lanka,Australia,R Premadasa Stadium,2016-08-24,Selected as BAT with form score 54.7.
LD Chandimal,BAT,58.5,True,False,1,995461,Sri Lanka,Australia,Rangiri Dambulla International Stadium,2016-08-28,Selected as BAT with form score 58.5.
GJ Bailey,BAT,56.4,False,True,2,995461,Sri Lanka,Australia,Rangiri Dambulla International Stadium,2016-08-28,Selected as BAT with form score 56.4.
