player,role,form_score_100,is_captain,is_vice_captain,selection_order,match_id,team,opponent,venue,date,rationale
WP Saha,BAT,53.2,False,False,10,981005,Rising Pune Supergiants,Kings XI Punjab,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,2016-05-21,Selected as BAT with form score 53.2.
SS Tiwary,BAT,52.4,False,False,11,981005,Rising Pune Supergiants,Kings XI Punjab,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,2016-05-21,Selected as BAT with form score 52.4.
N Rana,BAT,57.4,True,False,1,981007,Gujarat Lions,Mumbai Indians,Green Park,2016-05-21,Selected as BAT with form score 57.4.
RG Sharma,BAT,55.1,False,True,2,981007,Gujarat Lions,Mumbai Indians,Green Park,2016-05-21,Selected as BAT with form score 55.1.
AJ Finch,BAT,54.9,False,False,3,981007,Gujarat Lions,Mumbai Indians,Green Park,2016-05-21,Selected as BAT with form score 54.9.
JC Buttler,BAT,54.7,False,False,4,981007,Gujarat Lions,Mumbai Indians,Green Park,2016-05-21,Selected as BAT with form score 54.7.
DR Smith,AR,46.5,False,False,5,981007,Gujarat Lions,Mumbai Indians,Green Park,2016-05-21,Selected as AR with form score 46.5.
R Vinay Kumar,BOWL,40.8,False,False,6,981007,Gujarat Lions,Mumbai Indians,Green Park,2016-05-21,Selected as BOWL with form score 40.8.
P Kumar,BOWL,38.6,False,False,7,981007,Gujarat Lions,Mumbai Indians,Green Park,2016-05-21,Selected as BOWL with form score 38.6.
SB Jakati,BOWL,38.0,False,False,8,981007,Gujarat Lions,Mumbai Indians,Green Park,2016-05-21,Selected as BOWL with form score 38.0.
DJ Bravo,BOWL,37.3,False,False,9,981007,Gujarat Lions,Mumbai Indians,Green Park,2016-05-21,Selected as BOWL with form score 37.3.
BB McCullum,BAT,54.5,False,False,10,981007,Gujarat Lions,Mumbai Indians,Green Park,2016-05-21,Selected as BAT with form score 54.5.
SK Raina,BAT,54.5,False,False,11,981007,Gujarat Lions,Mumbai Indians,Green Park,2016-05-21,Selected as BAT with form score 54.5.
DA Warner,BAT,56.9,True,False,1,981009,Kolkata Knight Riders,Sunrisers Hyderabad,Eden Gardens,2016-05-22,Selected as BAT with form score 56.9.
S Dhawan,BAT,56.1,False,True,2,981009,Kolkata Knight Riders,Sunrisers Hyderabad,Eden Gardens,2016-05-22,Selected as BAT with form score 56.1.
RV Uthappa,BAT,55.1,False,False,3,981009,Kolkata Knight Riders,Sunrisers Hyderabad,Eden Gardens,2016-05-22,Selected as BAT with form score 55.1.
G Gambhir,BAT,53.4,False,False,4,981009,Kolkata Knight Riders,Sunrisers Hyderabad,Eden Gardens,2016-05-22,Selected as BAT with form score 53.4.
KV Sharma,AR,36.8,False,False,5,981009,Kolkata Knight Riders,Sunrisers Hyderabad,Eden Gardens,2016-05-22,Selected as AR with form score 36.8.
Kuldeep Yadav,BOWL,40.7,False,False,6,981009,Kolkata Knight Riders,Sunrisers Hyderabad,Eden Gardens,2016-05-22,Selected as BOWL with form score 40.7.
JO Holder,BOWL,39.4,False,False,7,981009,Kolkata Knight Riders,Sunrisers Hyderabad,Eden Gardens,2016-05-22,Selected as BOWL with form score 39.4.
Shakib Al Hasan,BOWL,39.4,False,False,8,981009,Kolkata Knight Riders,Sunrisers Hyderabad,Eden Gardens,2016-05-22,Selected as BOWL with form score 39.4.
SP Narine,BOWL,37.6,False,False,9,981009,Kolkata Knight Riders,Sunrisers Hyderabad,Eden Gardens,2016-05-22,Selected as BOWL with form score 37.6.
MK Pandey,BAT,53.3,False,False,10,981009,Kolkata Knight Riders,Sunrisers Hyderabad,Eden Gardens,2016-05-22,Selected as BAT with form score 53.3.
SA Yadav,BAT,52.7,False,False,11,981009,Kolkata Knight Riders,Sunrisers Hyderabad,Eden Gardens,2016-05-22,Selected as BAT with form score 52.7.
V Kohli,BAT,61.0,True,False,1,981011,Delhi Daredevils,Delhi Daredevils,Shaheed Veer Narayan Singh International Stadium,2016-05-22,Selected as BAT with form score 61.0.
KL Rahul,BAT,58.3,False,True,2,981011,Delhi Daredevils,Delhi Daredevils,Shaheed Veer Narayan Singh International Stadium,2016-05-22,Selected as BAT with form score 58.3.
KK Nair,BAT,55.8,False,False,3,981011,Delhi Daredevils,Delhi Daredevils,Shaheed Veer Narayan Singh International Stadium,2016-05-22,Selected as BAT with form score 55.8.
AB de Villiers,BAT,55.0,False,False,4,981011,Delhi Daredevils,Delhi Daredevils,Shaheed Veer Narayan Singh International Stadium,2016-05-22,Selected as BAT with form score 55.0.
CH Morris,AR,42.2,False,False,5,981011,Delhi Daredevils,Delhi Daredevils,Shaheed Veer Narayan Singh International Stadium,2016-05-22,Selected as AR with form score 42.2.
P Negi,AR,41.6,False,False,6,981011,Delhi Daredevils,Delhi Daredevils,Shaheed Veer Narayan Singh International Stadium,2016-05-22,Selected as AR with form score 41.6.
CR Brathwaite,BOWL,43.4,False,False,7,981011,Delhi Daredevils,Delhi Daredevils,Shaheed Veer Narayan Singh International Stadium,2016-05-22,Selected as BOWL with form score 43.4.
Z Khan,BOWL,36.7,False,False,8,981011,Delhi Daredevils,Delhi Daredevils,Shaheed Veer Narayan Singh International Stadium,2016-05-22,Selected as BOWL with form score 36.7.
S Aravind,BOWL,35.8,False,False,9,981011,Delhi Daredevils,Delhi Daredevils,Shaheed Veer Narayan Singh International Stadium,2016-05-22,Selected as BOWL with form score 35.8.
